ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12222865,JD432651,11/9/20 15:35,030XX W LYNDALE ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1414,14,32,22,6,,,2020,11/17/20 15:49,,,
12217200,JD426716,11/10/20 1:30,103XX S AVENUE G,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,FALSE,FALSE,432,4,10,52,3,,,2020,11/17/20 15:49,,,
12217179,JD426706,11/10/20 1:00,001XX W 74TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,731,7,6,69,08B,,,2020,11/17/20 15:49,,,
12218155,JD427754,11/10/20 21:45,058XX S SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,712,7,16,68,14,,,2020,11/17/20 15:49,,,
12217917,JD427385,11/10/20 15:04,001XX W MONROE ST,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,BANK,TRUE,FALSE,122,1,42,32,11,,,2020,11/17/20 15:49,,,
12218049,JD427693,11/10/20 12:00,053XX W FOSTER AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,1623,16,45,11,26,,,2020,11/17/20 15:49,,,
12218116,JD427757,11/10/20 13:00,0000X E 88TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,632,6,9,44,14,,,2020,11/17/20 15:49,,,
12217475,JD426993,11/10/20 10:00,003XX N HOMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1123,11,28,27,08B,,,2020,11/17/20 15:49,,,
12222398,JD432708,11/1/20 0:01,054XX N MENARD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,POOL ROOM,FALSE,FALSE,1622,16,45,11,11,,,2020,11/17/20 15:49,,,
12218234,JD427882,11/10/20 20:00,128XX S PARNELL AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,FALSE,FALSE,523,5,9,53,5,,,2020,11/17/20 15:49,,,
